x1,y1,x2,y2,selectivity
'fnhuboxd','JH','zcpjod','ODW',0.23057500000000000000
'dzyt','OEB','oufhaxbl','ZJ',0.18399000000000000000
'ej','JBA','ww','TJ',0.58763500000000000000
'kpjyvlezhf','C','zjo','QE',0.37672500000000000000
'gi','QF','jw','W',0.02501000000000000000
'ksoun','CMZ','tnhwl','U',0.50039500000000000000
'jwbxub','P','ksus','YX',0.00525000000000000000
'ns','D','uwbudqcuwu','YH',0.33812000000000000000
'cjvznw','B','pjavnwer','LNX',0.17606000000000000000
'cjuw','HHL','ghde','W',0.13506000000000000000
'bkckzylkkp','FP','cnbllwmhc','ZT',0.09148000000000000000
'vozeel','BH','yrxunhts','ZH',0.03285500000000000000
'u','OP','vnko','PX',0.00179500000000000000
'ixxgaco','D','rtnh','UD',0.36986500000000000000
'gkpndvm','ALV','jhkpwgqb','RH',0.04949500000000000000
'gheg','EOT','smpnciu','T',0.45148500000000000000
'dernkwsa','ARL','ybxvy','YS',0.73866500000000000000
'eq','RIF','i','TCK',0.03963500000000000000
'fykjck','CFD','nhj','PRX',0.19358500000000000000
'kauywniq','JJG','nt','M',0.03249000000000000000
'byec','F','eqf','QC',0.07057000000000000000
'cermoogb','F','ht','R',0.12975000000000000000
'r','H','vmbzb','RTA',0.10806500000000000000
'ppmuxxp','ASX','sbviucms','XDZ',0.09855500000000000000
'djjsy','BUQ','ghhtyqgdnx','YTH',0.07587000000000000000
'ihmnksobx','RS','wtwzdi','WX',0.19676000000000000000
'wovymfv','D','yjqv','MRJ',0.00527000000000000000
'k','KR','uymu','Z',0.44372500000000000000
'qljsgaec','R','svvfhbnxk','WS',0.05444500000000000000
'bmt','BMH','ydlvdvtazx','MSF',0.43940500000000000000
'gbd','DD','gy','SZJ',0.04277500000000000000
'oxi','FS','xgtvsviugn','TF',0.28113500000000000000
'blddhp','GH','zzcodux','VR',0.75937000000000000000
'wjszqzywg','ASV','yuqlgnizuq','LV',0.00345000000000000000
'fyllakfhmh','DSB','ulkafwntep','EK',0.10579000000000000000
'lrscdwb','H','vobyv','QFF',0.22838000000000000000
'hjkjldor','EYQ','sijiqkpeyk','QWN',0.23291000000000000000
'd','JD','nyjsa','TQ',0.32398500000000000000
'fmrvvk','M','tixznirr','U',0.41926000000000000000
'em','C','zjlv','W',0.71691500000000000000
'oe','KLY','u','XU',0.28111500000000000000
'ko','CFN','ufqscmw','K',0.08765000000000000000
'gp','AKJ','xpafbxe','WH',0.63014000000000000000
'pbw','KDE','w','P',0.09730000000000000000
'hrrdvwrefk','FI','mwqk','VYL',0.16191000000000000000
'nkrajk','E','wcgdvzif','YGI',0.34929000000000000000
'aslizffej','O','gwxxjfwxf','VIW',0.17426500000000000000
'cpeag','B','nglsvyux','HKL',0.06861000000000000000
'awfgwqj','ISA','eiookwmyde','VK',0.20863000000000000000
'qkasedcp','DAY','rw','W',0.04372500000000000000
'fe','RT','tjhqggj','X',0.21773000000000000000
'd','DDM','qa','RDV',0.34568500000000000000
'exbcjdibqe','EYQ','wh','LBE',0.11322500000000000000
'gaeq','DH','u','U',0.62941000000000000000
'i','D','vehg','Q',0.36879500000000000000
'bh','BOO','hjvgtgzf','Z',0.32594000000000000000
'lux','A','ojalmnwzp','G',0.01824500000000000000
'ei','D','stjid','P',0.31434500000000000000
'mleri','CVK','uq','U',0.37088000000000000000
'sk','GZ','xwski','TQ',0.11753000000000000000
'imebwod','E','syasexoivt','Y',0.51004500000000000000
'cqxca','DDD','rmptobhtzw','WEN',0.55283000000000000000
'jge','KPI','nm','TS',0.16261000000000000000
'dpaateu','Q','i','U',0.04341000000000000000
'fygcnvz','M','vbtcqiqivf','RO',0.20867000000000000000
'mbaz','PE','msxdsv','V',0.03263500000000000000
'e','L','lnb','PIF',0.07489000000000000000
'cpkw','N','idkpagu','QE',0.03263500000000000000
'obhd','MDF','tpvhofzfc','X',0.21788500000000000000
'pdwuvqj','A','ua','I',0.04787500000000000000
'lupojxaq','KUN','qefctvblei','ZBW',0.20048500000000000000
'fyvnf','CA','lgqxpnhe','FC',0.02517500000000000000
'hww','BO','nqyvjg','JF',0.03609500000000000000
'kzz','A','sqtkgvk','ZJ',0.46794500000000000000
'hcyyov','CE','u','SYE',0.57573500000000000000
'mjaiqftntf','A','sqzazwacbj','NN',0.15822500000000000000
'gipcacmoui','LYA','lmuorhnut','PBB',0.02685500000000000000
'ixo','KW','q','P',0.10861000000000000000
'jt','IYA','o','MIE',0.06531000000000000000
'hfygdvmnp','O','wto','YLY',0.30457500000000000000
'oyw','BY','qaouhqkgu','ZZZ',0.09782000000000000000
'atiornij','C','vhdjwih','V',0.92339500000000000000
'cnkt','QY','hitoouw','TRT',0.06796500000000000000
'eyna','D','qvtzs','ON',0.23242500000000000000
'haetmjfpxz','HA','n','QRQ',0.10745000000000000000
'h','BU','mxsi','FS',0.03588000000000000000
'fvtfohuvl','BSK','iabahicnse','TO',0.07514000000000000000
'nyasms','N','rb','QP',0.02219000000000000000
'jm','H','mcqf','MT',0.03600000000000000000
'urvocar','HO','wkzrpdbeg','RZ',0.01636500000000000000
'fl','IVN','pucoun','UB',0.36081500000000000000
'papk','BRE','xnylgkehyx','SS',0.26291500000000000000
'exgjflwplw','LHI','ogei','Y',0.22352000000000000000
'nqxdrgpyjn','IGN','wag','QKC',0.17355500000000000000
'jtdxumm','EG','tftz','N',0.16639500000000000000
'civvm','CO','dq','QFG',0.06509000000000000000
'iviria','DQ','jgohlgcz','Y',0.01019000000000000000
'dbutf','MLJ','jvegmvlhrs','Q',0.03031000000000000000
'm','K','mbdk','YZ',0.01835000000000000000
'drxs','IW','vmlcmgklr','ZMJ',0.56922000000000000000
'bdetixpjsw','B','sjzjes','P',0.40175500000000000000
'cajszwggif','DBO','xmstih','P',0.42331500000000000000
'bddxv','IYM','k','NH',0.12571500000000000000
'dvnwlh','BR','hbdhoiqnrh','TKW',0.09715500000000000000
'peoplylwpg','BPM','plnq','W',0.02137500000000000000
'bxhlkvi','FJT','ton','T',0.66811500000000000000
'gxbuk','G','nrpy','N',0.07929500000000000000
'ezek','DER','jvbakgpd','JKR',0.02339000000000000000
'pdjnrtzt','R','wxiypnd','UFI',0.10583500000000000000
'qnnl','AC','xlydheos','HMN',0.04085500000000000000
'tpltnko','FA','yp','W',0.04592000000000000000
'iqttltxvuf','Q','jjatmcun','XFM',0.00359500000000000000
'lvjekcvua','K','nydvtjeh','VJ',0.09111000000000000000
'fot','R','owrkbuuq','WES',0.11247000000000000000
'mp','L','scg','RQX',0.11444000000000000000
'oy','FB','vky','ZKV',0.26272000000000000000
'dgcupi','J','mecwf','NVS',0.09301000000000000000
'apu','EAJ','dpdcsjsbs','I',0.04189500000000000000
'h','BFU','px','LAG',0.06128500000000000000
'cgnvgikni','GL','shxgf','NT',0.23100500000000000000
'ejbrmv','K','xchtnvqrkq','XH',0.58763500000000000000
'jxgp','CZM','sxbgqsjvi','J',0.08213500000000000000
'awvrqf','J','tewogpgjj','QC',0.44305500000000000000
'dznyj','BH','jrhgkfuz','KAD',0.02339000000000000000
'lmgg','FJ','tfzlauflb','W',0.34476000000000000000
'bvbiq','AM','dpccimp','Z',0.12989000000000000000
'iovlzzd','MG','lao','ZTX',0.01616000000000000000
'm','ME','snqf','O',0.06362500000000000000
'ar','PIO','ssllz','ST',0.28964500000000000000
'ltz','ATD','nxsjqhx','LOG',0.03658000000000000000
'jozepkktek','AKY','u','P',0.26663000000000000000
'eslqafje','AFP','gldexfqcf','SM',0.04336500000000000000
'lm','NS','qpunlchwwt','U',0.12049500000000000000
'b','BN','lfj','GVL',0.07236000000000000000
'rcpnatbe','I','sf','OM',0.02921500000000000000
'jzwdsxs','RO','njtgrotnql','ZL',0.06522500000000000000
'fu','BEM','terdb','R',0.39654500000000000000
'crrgwcxv','FHT','usnd','V',0.61424000000000000000
'fwvo','K','nga','QSK',0.14480000000000000000
'vrhgnznp','JXY','xceu','LKM',0.00362000000000000000
'eanlywq','QTC','zj','WJ',0.24018000000000000000
'meazxk','IH','qksxvieuc','YZ',0.18213500000000000000
'gkmh','DM','oxu','MG',0.15160500000000000000
'bdnzgugmuu','I','esqpjbkl','ORY',0.07944500000000000000
'rmgn','O','zkt','VST',0.11972500000000000000
'o','DY','qyjwouxe','QVR',0.08713500000000000000
'qnihety','DOJ','u','RD',0.13789000000000000000
'uxd','S','ylmat','SWO',0.01507000000000000000
'ovvmxrk','BBA','tut','YPD',0.30492000000000000000
'ezwkg','E','zqsha','KOI',0.12013000000000000000
'kwimidv','FJO','vzioqcgv','PDE',0.17725500000000000000
'nvvxpxnbjh','AF','sstp','MF',0.14169500000000000000
'nlozhh','DLK','tkbd','NM',0.15789000000000000000
'bpvhiw','CK','up','J',0.14183500000000000000
'iarl','ET','vimkiadfjg','WR',0.46117000000000000000
'j','GAZ','onrhtvq','U',0.17167500000000000000
'auzufw','HMV','mwde','MR',0.18722500000000000000
'kdqrlqzlju','K','xrfki','S',0.28177000000000000000
'jqh','HB','xerur','NAW',0.18818000000000000000
'baewhhuji','GQ','ezzctcgqcr','P',0.07944500000000000000
'nk','MNX','q','Z',0.06607500000000000000
'dqhliosgje','D','ul','V',0.68380500000000000000
'szo','MQ','ttgeisekc','WH',0.01668000000000000000
'tnuhdywefq','HY','xdcijcbvyo','UZG',0.04610000000000000000
'im','C','qnrvf','J',0.05774000000000000000
'drjaslduu','P','mkna','XF',0.15106000000000000000
'jykcnjregb','M','t','YVR',0.32586000000000000000
'b','R','ovvm','WY',0.20364000000000000000
'awhbtb','QEI','sywexrpkyb','W',0.29440000000000000000
'dxzbt','AR','vipgxz','KP',0.11484000000000000000
'cfasesyuf','I','vibxbnop','U',0.67723500000000000000
'kzoxsn','L','qqsxjbnn','LF',0.05234500000000000000
'bawuu','E','g','LQL',0.09411000000000000000
'hcmhiagjnu','S','nmrghgpia','ZJN',0.07965000000000000000
'mtuyc','BQW','rifjxhjq','G',0.02727000000000000000
'jtouv','DD','r','L',0.05415500000000000000
'nxccxhuion','J','pciwfl','OJM',0.01824500000000000000
'cprnojp','FQR','irvzq','U',0.17109000000000000000
'qkjdsxfql','GU','rjxntjlzx','TCW',0.00915500000000000000
'smvvqzrb','KJ','z','OV',0.03945500000000000000
'fudtapeon','D','rqkc','HP',0.07774000000000000000
'qblzpiox','IX','xbcqy','N',0.07957000000000000000
'exjwjqhwqc','A','nvqzlcl','SBB',0.22275500000000000000
'ny','B','qbqm','W',0.13102000000000000000
'keisv','DO','oy','G',0.03808000000000000000
'v','PHF','y','V',0.01658500000000000000
'uyyhu','J','whudomawtu','Z',0.02765000000000000000
'dhodi','JKR','ukfmt','YEZ',0.58719000000000000000
'vekazuqne','CJ','xocp','H',0.00549500000000000000
'ujomfxoiuy','B','xd','NW',0.01656000000000000000
'axfby','KH','ztao','M',0.16016000000000000000
'peu','KBZ','vc','XVW',0.21713500000000000000
'fobf','FH','oobejha','P',0.10771500000000000000
'axojogtnf','O','vcjgnf','Y',0.46225500000000000000
'wmmfyclz','CGO','zgiknzzk','ZJV',0.01088000000000000000
'eujfd','BWL','xdvvs','HU',0.11840000000000000000
'azag','OQD','mehxdgr','V',0.25501500000000000000
'mnjb','B','vouhauvx','VO',0.38205000000000000000
'bdjdycmojo','NSH','ucmsayquk','XL',0.45682000000000000000
'iofoiivch','C','pij','WQ',0.28187500000000000000
'rvdvn','DK','stne','WFH',0.11915000000000000000
'mac','JL','opkduvm','ZKZ',0.10017500000000000000
'fxznwwbh','DTY','xud','LV',0.22095500000000000000
'jgwiuupyn','C','u','FD',0.08951500000000000000
'cixepztdj','CSM','kchjjdh','M',0.08251000000000000000
'cealmlvrdc','KK','kevs','QLX',0.14004000000000000000
'ixuj','FHM','onvqkvk','QO',0.10270500000000000000
'is','CHN','rag','WMS',0.33633000000000000000
'kfe','CE','kptl','QBL',0.00715000000000000000
'fvudyjv','NZE','xgso','QR',0.10942000000000000000
'dquzojkrqm','G','ppaincs','RIX',0.22653500000000000000
'kygslikyc','I','ukuxocl','MTM',0.17351500000000000000
'gijhmtxr','NML','sneavvcfc','ZEY',0.26554000000000000000
'gmpezckkpl','L','xipemqript','P',0.21278500000000000000
'atbueyd','IXD','vtzrlqtfpk','NRA',0.31010000000000000000
'cpkbcyovxb','FIR','gplfyajgca','TPB',0.12675500000000000000
'bfgclrpxn','NWB','znukucqt','RHB',0.15684500000000000000
'o','QMG','sojsf','UE',0.09105500000000000000
'kbmzuhxa','MHH','tuuvosnh','SRK',0.17721000000000000000
'oh','GT','tdoxbdxbex','RFQ',0.15162500000000000000
'heif','I','rgkbzxod','MMT',0.12604500000000000000
'mmn','N','qrdlcac','XXC',0.08230500000000000000
'ffwtmjio','DBZ','qfypl','H',0.07754500000000000000
'guladgdg','H','y','QCC',0.30271000000000000000
'wcj','QLT','zihbs','YZC',0.01137000000000000000
'cvdxnvyjtg','CHC','itwmpn','G',0.03259500000000000000
'p','BJT','u','J',0.05143500000000000000
'pfczfxapqs','HXK','tosembztl','S',0.12447500000000000000
'awqoelfhc','IB','oswbl','Z',0.51513000000000000000
'mguofecfdz','GTO','qhnxpwt','Y',0.16397000000000000000
'ha','P','z','YUV',0.31018500000000000000
'pdjquihosh','B','tmiczjqw','L',0.04419500000000000000
'mywzghnc','GD','pwzvsvz','VEC',0.12752000000000000000
'qkpwqlwfu','K','rg','SKZ',0.00530000000000000000
'eycjjglba','BDA','jigpeotxbz','R',0.09286000000000000000
'gagw','C','tvnljjc','FIV',0.10579000000000000000
'bibdzcenld','J','hpnzdkjyx','R',0.17315000000000000000
'aikq','DRX','zcxhziw','X',1.00000000000000000000
'ckzoheau','CN','pldbsqat','GB',0.08837000000000000000
'pzsvxsjri','FGL','xmkbjpkzg','OYU',0.07957000000000000000
'l','QOD','we','SNL',0.08903500000000000000
'gx','DO','me','JM',0.02508000000000000000
'ox','F','wknxwxjgno','N',0.11194000000000000000
'wmpgjcgf','RH','ywwqenep','X',0.00378500000000000000
'o','QOZ','vsoqqf','U',0.11679500000000000000
'mphzhowpm','GY','uoamuh','T',0.29926000000000000000
'kkfkhc','DI','ukag','SOT',0.43493500000000000000
'flokzou','L','j','NJ',0.04265500000000000000
'gstvos','R','ugwyt','X',0.19274500000000000000
'cumlh','A','njsumzlb','FI',0.06681500000000000000
'npblukofe','DC','rhdfxi','NB',0.07026000000000000000
'cwwks','AHR','orfzajg','US',0.43314000000000000000
'cm','JA','k','OZ',0.08206000000000000000
'igo','CW','xczc','MK',0.29377000000000000000
'kjdacus','HF','oswxopq','P',0.07264000000000000000
'cfzgfqxqne','D','zi','O',0.42858500000000000000
'nvsgaoiywj','AQC','pz','VDF',0.13102000000000000000
'eezj','J','nubptuu','ZXH',0.27887000000000000000
'epr','IV','sxqd','WD',0.52314000000000000000
'lcxaqoncuq','C','mascryucxe','PHX',0.03260500000000000000
'xjqchvy','JW','yiqkoyn','VDO',0.00915000000000000000
'inp','KH','syaquvqwra','MB',0.08259500000000000000
'bl','JP','nvqn','NN',0.18366000000000000000
'smbbz','HUG','yrvkcrwm','RHW',0.06434000000000000000
'alci','GZL','hze','MHM',0.13303000000000000000
'dnrannumil','MU','lzqxdccxxm','VYR',0.12379000000000000000
'amhfahcrl','OES','qlnhjt','UWI',0.36974000000000000000
'fez','OF','k','WI',0.06999000000000000000
'aoqe','GB','sbub','X',0.66926500000000000000
'ejtiuxsb','A','ypjk','YR',0.71691500000000000000
'jvd','QRR','pzhrziucyw','WQO',0.10911000000000000000
'cagbur','H','ualoj','Y',0.67723500000000000000
'fa','LN','wihs','RA',0.23439500000000000000
'huclkelaev','II','nvp','ZM',0.18005500000000000000
'hiwq','OAR','ldc','X',0.04285000000000000000
'apjdrsdur','GLM','rtjtavoek','Y',0.64198000000000000000
'pvt','B','scpfb','O',0.03845000000000000000
'rnta','JZ','sxykuyu','PXJ',0.07515000000000000000
'igtinhak','BP','sozyzuyjs','LD',0.16317000000000000000
'ita','LAS','r','S',0.11209000000000000000
'dirgiqmmh','LZM','ngpgjn','VIJ',0.23790000000000000000
'dpvaxulj','EC','gxhvpmjlu','O',0.05394000000000000000
'v','H','xzuku','XGR',0.02765000000000000000
'bljrylrmos','A','dfkx','NW',0.08145000000000000000
'cm','C','olzmfgjf','Z',0.45353500000000000000
'av','KS','plrh','R',0.33496000000000000000
'kcssso','PFI','sibxrnlfp','RMA',0.06871500000000000000
'bdie','ITC','bzvehxh','NL',0.03253500000000000000
'ihwqoysrxc','CWO','isgz','IP',0.00187500000000000000
'qks','BSU','se','PPM',0.03845000000000000000
'kromqpcwr','SI','wluhl','UR',0.18604000000000000000
'aqlmjjzf','O','hidicrauxg','ZSH',0.17960500000000000000
'rntlo','AHN','z','OT',0.12038000000000000000
'bfuyfgxah','O','sj','ZK',0.39706500000000000000
'eqc','AVA','nxzz','IYS',0.05590000000000000000
'atdyh','OWP','mtgm','PXQ',0.09333000000000000000
'lcrrznaui','E','suhgfhvgr','S',0.29708500000000000000
'gdb','AZS','yvizfhbu','SF',0.44036500000000000000
'rizcgjw','L','vx','M',0.03457000000000000000
'ssvwljjw','NWB','wdx','S',0.01098500000000000000
'ou','B','ztdyqkm','HZV',0.05866000000000000000
'hmiizsz','M','ls','PK',0.02163000000000000000
'cdfdjoko','C','drorquvp','P',0.07046500000000000000
'hwqilg','CT','koodpcncui','QEY',0.02102500000000000000
'bvwzrziifn','ALM','p','FXH',0.08502500000000000000
'ihictrq','D','tmyuhzztl','UU',0.53214000000000000000
'sqqamhwphb','L','vd','XI',0.04540500000000000000
'hoilopibsp','G','jply','ORT',0.01398500000000000000
'i','A','zbwcbxyx','IRC',0.10032500000000000000
'gtpakyfqzo','J','k','ORB',0.01398500000000000000
'eahqdtjh','I','hanipx','U',0.08089500000000000000
'cg','C','xpyr','W',0.84684000000000000000
'htgit','IB','y','SN',0.39016000000000000000
'twil','HIX','zphcjhtir','XTG',0.03680000000000000000
'c','I','kd','QYW',0.14004000000000000000
'lgoaku','CTC','ymejsuv','TR',0.52366000000000000000
'bo','C','sdlb','VEE',0.71599000000000000000
'itjam','CBD','wc','X',0.55460000000000000000
'ftz','GM','njp','WJJ',0.24250500000000000000
'bnfo','JOL','rwqgqv','YTC',0.56927000000000000000
'aljfumy','A','gzlg','JV',0.06348500000000000000
'ezevwgpf','BA','xfg','TMF',0.70603500000000000000
'mprpxk','C','wskjoo','ZL',0.39317000000000000000
'ogtijqa','H','zr','VIQ',0.31791500000000000000
'ja','DN','tvukfnj','FGP',0.08951500000000000000
'qpop','RE','umls','V',0.06921000000000000000
'vttkfdzl','S','y','THR',0.00758500000000000000
'dztieid','B','yfkcb','KLL',0.12013000000000000000
'fj','EX','jg','YC',0.10709500000000000000
'hdml','CV','sopm','Q',0.33966500000000000000
'pzrns','BKC','roasutsfv','R',0.00716500000000000000
'kbj','C','yh','S',0.38387500000000000000
'pvla','HG','spks','R',0.07016000000000000000
'eniqivot','A','ifysedr','XCR',0.11862000000000000000
'axyi','B','ofo','JI',0.09777500000000000000
'joxl','PQ','ygolc','Z',0.28880500000000000000
'kiesazkzcg','KC','mo','ZXA',0.12655000000000000000
'bdslvxpw','SFF','vhfkdudf','X',0.30544500000000000000
'hsir','BL','pjfjjplk','MQO',0.15161500000000000000
'ks','D','wq','NLP',0.27772500000000000000
'hnweza','AJF','zrfa','HHF',0.10387000000000000000
'bxdbw','G','xo','ZAQ',0.70488500000000000000
'afnhg','AKD','qpy','GHL',0.12477000000000000000
'jgfjnz','NDA','owaiempyz','PY',0.03748500000000000000
'ctnt','I','flrzicn','SX',0.07261500000000000000
'adileix','OV','pqw','XED',0.36455000000000000000
'g','N','hft','VVR',0.02693000000000000000
'nwjajfbif','M','xn','NZT',0.06137500000000000000
'imxgi','CG','zhmfoeq','PP',0.29904000000000000000
'uacaofhpd','AXC','xqdexc','F',0.00549500000000000000
'noyp','DI','quftw','QK',0.08713500000000000000
'mgtwj','G','qvlgsfj','XZ',0.16397000000000000000
'jtfozksg','B','vmesymw','HD',0.09145000000000000000
'aglujfran','B','psvx','MT',0.36243000000000000000
'pyvhdl','CM','vvustr','EGF',0.03729500000000000000
'mfofcwn','KJS','t','ZL',0.29886500000000000000
'bhxkkrsme','L','xsn','QLJ',0.46521000000000000000
'qzvnmqw','HTZ','sohpphh','R',0.07016000000000000000
'k','NX','ou','V',0.11400000000000000000
'gp','K','hqdjn','YT',0.03537000000000000000
'fka','N','muzl','U',0.15092500000000000000
'fcelaax','MII','hqjuyxo','T',0.05954000000000000000
'kgxhxofou','L','pmreaayq','R',0.14627000000000000000
'bj','AOW','zxfdbnigns','P',0.46664500000000000000
'fysxddfjt','GZ','wzbkouyz','OR',0.21976500000000000000
'f','IF','swvmcq','PGX',0.20882000000000000000
'ei','PEY','itlxxnoh','QCH',0.02154000000000000000
'o','EKK','teurtixsf','QDU',0.15162500000000000000
'ovzzgq','APO','rpagxxeqf','LOW',0.04661500000000000000
'ftkihp','ASY','qm','N',0.21062500000000000000
'h','DO','qhbozcqnv','SI',0.24510000000000000000
'bmdpox','E','pjpug','ROO',0.39628500000000000000
'gzklheiy','S','m','XP',0.04336500000000000000
'fmywjrdshb','AE','hsozhdsi','RB',0.06421000000000000000
'mhccnvf','J','tzd','WXB',0.33571000000000000000
'bzdrfy','S','drebdhh','USJ',0.04668000000000000000
'a','FP','lkeyg','XPZ',0.42362000000000000000
'a','B','relug','LN',0.25232500000000000000
'bwbygkkbk','GR','hi','U',0.19814500000000000000
'fyatbeumo','B','hu','XDJ',0.07514000000000000000
'kyepg','MYY','zudnyhe','SZG',0.28355500000000000000
'ci','AB','lhwev','RV',0.20062000000000000000
'j','HQZ','pxmwgpvc','ZGT',0.27198500000000000000
'f','IE','i','OH',0.03927500000000000000
'mzdmi','IYH','wpurogh','SO',0.26062000000000000000
'vojudh','FK','wsw','LWP',0.00362000000000000000
'i','H','pah','Z',0.20768500000000000000
'nosoykti','AFI','wyeoectnn','HG',0.06250000000000000000
'gyztzqso','DP','otgen','FOX',0.04521000000000000000
'dlk','LWF','rlo','P',0.08313500000000000000
'at','D','xtjym','O',0.47770000000000000000
'mgc','D','pdmmcis','JT',0.01999000000000000000
'eup','N','qbwlteq','Z',0.23336500000000000000
'tymhh','MDR','zwwsvdjj','ZR',0.02956000000000000000
'qdpq','C','sdo','ZT',0.07666000000000000000
't','NUQ','vwrfq','SVK',0.02777500000000000000
'i','FL','wbpfa','Y',0.47040500000000000000
'axzbuoaxb','CYG','igqswo','WWD',0.36912500000000000000
'ldih','BRP','scssjjtihh','U',0.35998500000000000000
'izfep','OER','rl','TVY',0.16908000000000000000
'kexablpuru','MH','zfucnuy','WMB',0.28880500000000000000
'rfzasqhbta','CZ','xqyzaqoqrj','L',0.03899000000000000000
'w','KB','xi','PI',0.00732500000000000000
'kjw','DL','z','ESH',0.09487500000000000000
'knuwc','DCT','rpvltshp','TEQ',0.35915000000000000000
'd','PGD','j','QXL',0.03206500000000000000
